												
												
№	РЕЕСТ ЗАРЕГИСТРИРОВАННЫХ ГОРОДОВ СП5 (ВЕДЁТСЯ МИНИСТЕРСТВОМ ЮСТИЦИИ)											
	ОБЩАЯ ХАРАКТЕРИСТИКА				КООРДИНАТЫ					РЕГИСТРАЦИЯ ТЕРРИТОРИИ		
34	Грибвиль-Колорлайн 	Строим будущие....	VATRUSHKA_		13000	5500	1500	1580	662	05.06.2022	https://vk.com/topic-131054616_48663772?post=3491	TRUE
35	Ривенделл	Город эльфов, гномов и других существ.	Moshennik_pro		2864	873	1000	360	100	03.06.2022	https://vk.com/topic-131054616_38491668?post=2698	TRUE
36	РавликСити	Город, где проживают самые красивые, талантливые и харизматичные  улиточки СП. В нашей стране СПVoice все жители получили безграничную власть, все позабыли про дружбу, и началась страшная война. Страна развалилась и превратилась в руины, столица опустела, в живых остались лишь 2 игрока. Мы долго блуждали в поисках мира и нового дома, и наконец у нас получилось... Мы забрели в Страну Подписчиков. Теперь мы полны сил и готовы восстановить. былое величие падшей столицы РавликСити.	cyxap1k		-2383	3191	1000	-300	400	07.06.2022	https://vk.com/gepe5?w=wall-131054616_85319	TRUE
37	Колония "B.C.243.a"	Масштабный город в стиле «Футуризм», с прописанным лором и большими планами.	Mr_Zabeiaka		-6530	-6200	2000	-814	-776	03.06.2022	https://vk.com/gepe5?w=wall-131054616_83976%2Fall	TRUE
38	Королевство Эдем	Город красоты и рыцарских дуэлей	_kirl		6000	-2000	2000	750	-2000	08.06.2022		FALSE
39	Утгард	Прекрасное место, где вы можете отдохнуть и развлечься У нас в городе присутствует ледяная и ПВП арена, стрельба из лука и т.п Так же выставка артов, рыб и животных Мы рады всем! Вступай в город!	TheGordeyGo		2900	-12000	1000	375	-1500	12.06.2022	https://vk.com/topic-131054616_48663772?offset=200&z=photo-131054616_457251443%2Fpost-131054616_3893	TRUE
40	ASSOW	просто гiрад кароче дефолтный я кстати топовый	jene4ka		-12353	7859	1000	-1555	1000	04.06.2022	https://vk.com/gepe5?w=wall-131054616_84500%2Fall	TRUE
41	Город Мёртвых	Город душ, пришедших к нам после смерти, блуждающие по этим краям	lGuestll666l		-2156	-6508	-	-269	-807	-	-	TRUE
42	Хайграунд	Морской футуристический город, с уникальной стилистикой	_Der1se_		-5900	3800	2000	-720	375	03.06.2022	https://vk.com/gepe5?w=wall-131054616_83944%2Fall	TRUE
43	DevineCity	Без описания.	MCmaks32_		-1500	500	1000	-200	63	05.06.2022	https://vk.com/gepe5?z=photo-131054616_457251206%2Fwall-131054616_85047	TRUE
44	Иерихон	Город Иерихон представляет собой большой город порт который создан для отогрышей рп	Qugerts_, Whoiamchik, OriginalTric 		13012	-1515	1000	1620	-190	03.06.2022	https://vk.com/gepe5?w=wall-131054616_84291%2Fall	TRUE
45	Кайо-Перико	Город мечты	DarlingCZ		4386	6532	500	557	821	04.06.2022	https://vk.com/wall-131054616_84655	TRUE
46	ЛапВиль	Фентези средневековый фурри городок.	DearFox		-4882	-3229	1000	-596	-401	03.06.2022	https://vk.com/topic-131054616_48663772?post=2903	TRUE
47	GreenWood	Город-киностудия, для создания развлекательного и медиа контента. Тут базируется множество киностудий со всей страны.	rConidze		-5100	-4200	2000	-628	-535	03.06.2022	https://vk.com/gepe5?w=wall-131054616_83868%2Fall	TRUE
48	Фраймонд-сити	Город высоких технологий Фраймонд-сити.	ASBomber		-1168	-7450	1000	-146	-888	03.06.2022	https://vk.com/wall-131054616_84408	TRUE
49	Коти Доми	Город кошачих домиков из ирл	AndreykaBurka		-4050	970	2000	-514	135	04.06.2022	https://vk.com/topic-131054616_48663772?post=3303&z=photo-131054616_457251073%2Fpost-131054616_3303	TRUE
50	ТипоЯма	Город стимпанк магма панк 	Kriken_		-1301	242		-150	29	04.06.2022		TRUE
51	Daskcity	Город в стиле Англия 19 века.	zak144		-10128	4931	1000	-1266	616	03.06.2022	https://vk.com/wall-131054616_84004	TRUE
52	Stórveldi	Космополитический город 1890-го года. Эпоха индустриализации диктует свои правила и свои законы, требуя от людей всё больших знаний и понимания того, как работает этот мир.	MeyliNotFound		-7800	-4200	2000	-930	-530	03.06.2022	https://vk.com/topic-131054616_48663772?post=2986	TRUE
53	Bethel	Вефиль - это европейский красочный город.	Qu1ns	Да	-3500	-4180	1250	-432	-531	03.06.2022	https://vk.com/wall-131054616_83918	FALSE
54	Айкон	Айкон - это американский город начала XXI века. В городе кишит преступность и многие районы города находятся под их контролем. Гражданам остаётся только рассчитывать на городскую полицию, которая долгие годы пытается взять город в ежовые рукавицы. Город основан по мотивам игры "Lego City Undercover"	Amm0LiT		6400	-9300	1000	820	-1240	11.06.2022	https://vk.com/topic-131054616_48663772?post=3865	TRUE
55	Шердвиль	В городе находятся уникальные кристальные шахты в которых можно раслабиться .Город построен в стилистике средневековья + немного индустриализма.	Famil		10580	2280	2000	1342	285	06.06.2022	https://vk.com/topic-131054616_48663772?post=3578	TRUE
56	Даларан	Город из игры World of Warcraft. Город магов, расположенный на летающем острове	phamp_	да	4000	4000	2000	500	500	03.06.2022	https://vk.com/gepe5?w=wall-131054616_83842%2Fall	TRUE
57	Некрополис Подземный город	Некрополис - город мертвых, под покровительством Барона Субботы и Мамы Бриджит. Сюда приходят отдыхать после людской жизни зажиточные аристократы, а храбрые воины садятся за стол, пировать после славной битвы. Мы нуждаемся в ваших. могилах. По поводу размещения надгробий писать DedInsider или Motoriya. Лягут все	Motoriya		4800	-4900	1000	600	-620	03.06.2022	https://vk.com/wall-131054616_83873	TRUE
58	TwinTowers  City	Город выполнен в уникальной стилистике вертикальной жилой площади. Одной из главных целей города - постройка одного из самых высоких зданий на сервере. Так же в городе сочетются множество стилистик от современного модерна до ванильного майнкрафта.	vitolka		-12870	-3680		-1601	-460			TRUE
59	VK&L ltd.	Тех зона + город для работников VK Территория - квадрат 2к х 2к с центром 2800 7300 за исклчением территории Мультикора (обговорено с Katyu6ka)	CaptainZakyyy	Да	2800	7300	1000	349	916	03.06.2022	https://vk.com/topic-131054616_48663772?post=3036	TRUE
60	Монтана	РП город в стилистике вестерн-стимпанк, где вы сможете найти друзей, придумать собственную РП историю и получить профессию!	MedzalPlay		-10500	13500	1000	-1300	1600	05.06.2022	https://vk.com/wall-131054616_84740	TRUE
61	Глициния	РП город в античном стиле, где обитают различные существа в мире и гармонии.	BORIS_DENIS		-11020	13020	1000	-1375	1615	14.06.2022	https://vk.com/wall-131054616_86255	TRUE
62	Дальний Татуин	Город, выполненный в стиле оригинальной планеты Татуин.	Juzzoo_	Да	10771	-12125	750	1353	-1522	14.06.2022	https://vk.com/wall-131054616_86253	TRUE
63	IdoFront	Город из аниме "Made in Abyss".	_The_Lich_		-1609	-12542	500	-192	-1561	03.06.2022	https://vk.com/wall-131054616_84282	TRUE
64	Murasaki (紫)	Пристанище Архонтов, город объединяющий в себе японскую стилистику и готическую архитектуру. Расположен на горном хребте Кисо (木曽), рядом с  священной горой Хакусан (白山) на полуострове, который омывается теплым морем.	Cinqle		-11400	11600	2000	-1434	1494	07.06.2022	https://vk.com/gepe5?w=wall-131054616_86249%2Fall	TRUE
65	Глориан	Глориан - портовый город индустриальной эпохи, торговая столица близлежащих земель.	Kivich_		-10182	4376	2000	-1272	544	03.06.2022	https://vk.com/wall-131054616_84329	TRUE
66	Маркарт	Маркарт- город в стиле средневекового фэнтези. Создан по образу города из игры TESV, только его версия из будущего.	Greenev		-12000	-2000	2000	-1532	-505	05.06.2022	https://vk.com/topic-131054616_48663772?post=3536	TRUE
67	Реверан Зеро	РЗеро, это край чудес, зашел туда и там изчез.	SinyorBlin		-9000	0	2000	-1030	150	03.06.2022	https://vk.com/gepe5?w=wall-131054616_83993%2Fall	TRUE
68	Вельти	Уютный городок в европейском стиле. Здесь любят пчёл	kriin_		-491	5952	350	-72	740	14.06.2022	https://vk.com/wall-131054616_86257	TRUE
69	Химэдзи	Город в Японском стиле, частино позаимственный из видео игры. Союз с Ревераном	Ab1e		5200	-10700	500	666	-1320	14.06.2022	https://vk.com/gepe5?w=wall-131054616_86245	TRUE
70	Неополис	Город в стилистике киберпанк 	miteks		2250	1350	1200	264	264	03.06.2022	https://vk.com/topic-131054616_48663772?post=3033	TRUE
71	Эмпайр-Бэй	Город в стиле Америки 40'х годов, в расцвет джаза, романтизированной преступности и бутлегерства. 	MrZons		3500	2200	2000	410	250	14.06.2022	https://vk.com/gepe5?w=wall-131054616_86272/all	TRUE
72	Соединённые Штаты Винчайсона	Союз ближайших городов вместе с Ямой Винчайсона 	Winchayson		1000	-5000	2000	125	-625	14.06.2022	https://vk.com/wall-131054616_86274	TRUE
73	DeadWood	Классический провинциальный город второй половины XIX века, юго-запада США. Жителей города не особо волнует приблежение и так идущей по пятам, цивилизации и последствий которая она несет за собой.	Bothsman		-13430	350	1000	-1680	30	03.06.2022	https://vk.com/wall-131054616_84051	TRUE
74	Тайосити	Тайосити это современный город со множеством стилей и видов активностей которыми можно заняться.	legoAntipin		-11200	-1700	2000	-1400	-166	14.06.2022	https://vk.com/topic-131054616_48663772?post=3948	TRUE
75	Moment City	Город курорт, В котором есть рестораны, памятники, казино и телестудия телеканала Барьер. Состоит в ОСД (Организация Северного Договора)	DroPlay20		11300	-8300	1500	1427	-1034	05.06.2022	https://vk.com/topic-131054616_48663772?post=3423	TRUE
76	convulse	город молодых парней с хорошим будущем. У всех есть арканы в доте. Суп говядина, пюре баранина	convulsive_m3ta		10832	-4740	1708	1375	-600	03.06.2022	https://vk.com/wall-131054616_84078	TRUE
77	Подсос сити	Крутой город, расположенный на границе мира, так что увеличится в два раза после её расширения. Город стоит на нескольких красивых биомах.	GlakNotFound, Qfict, pepeD15km	Да	13200	-9370	1500	1650	-1177	15.06.2022	https://vk.com/wall-131054616_86297	FALSE
78	Судьба	Город на краю мира.	UlvenSynd		-3160	-12200	1000	-400	-1520	03.06.2022	https://vk.com/topic-131054616_48663772?post=3098	TRUE
79	Flewland	Город, расположенный на полях и лугах рядом с горными вершинами. Рядом есть заповедник ледяных пик и океан с айсбергами. Под массивными горными хребтами располагаются карстовые пещеры и огромные полости.Главная достопримечательность города в данный момент засекречена.	_For_Tex_		-6000	13250	1500	-875	1675	04.06.2022	https://vk.com/topic-131054616_48663772?post=3137	TRUE
80	Афины	Поселение в стилистике античной Греции, находящееся на отшибе вселенной 	DisconnectM		-12937	2061	2000	-1631	246	10.06.2022	https://vk.com/gepe5?w=wall-131054616_85851%2Fall	TRUE
81	Инвиктус	Город в современной тематике с крупным бизнес центром и различными интересными районами 	IDC_IDontCare		5632	1615	2000	697	205	04.06.2022	https://vk.com/wall-131054616_84473	TRUE
82	Вэстленд	Город для настоящих ковбоев	Satyuilo		5600	8800	1500	700	1117	05.06.2022		TRUE
83	DOORка		FiRaMiR_TV		-11800	-528	1000	-1475	-66			TRUE
84	Дуо-Лэнд	Город, где учат языки!	kovrikcc		500	8000	2000	-8	942	16.06.2022	https://vk.com/gepe5?w=wall-131054616_86348%2Fall	TRUE
85	Литовская Народная Коммуна	Без описания.	andrejmonn		8000	4000	2000	1083	497	03.06.2022	https://vk.com/wall-131054616_84073	TRUE
86	WANDERLAND	Город в стиле современной Италии, с её маленькими улочками и разноцветными домами. Город будет поделён на районы с разными стилями. 	AHEGAODIE		-5077	13481	2000	-647	1675			TRUE
87	Коноха	Коноха скрытый город страны подписчиков. Как город одной из великих стран Пятёрки, он имеет Каге в качестве своего лидера, известного как Хокаге, которых за всю историю было двое.	Justry_1		-8545	8606	1000	-1089	862			TRUE
88	Город Друзей	Город друзей,ну крч нормально.	Myxodoika		0	-13000	500	5	-1625	04.06.2022	https://vk.com/gepe5?w=wall-131054616_84634%2Fall	TRUE
89	Инсар	Инсар - очень дружелюбный и атмосферный город в стиле стимпанк. Здесь ты можешь познакомиться с новыми друзьями и приятелями, побывать на огромных летающих кораблях, свысока рассмотреть красоты этого дивного места и просто хорошо провести время!	LifeEgor		1760	345	2000	222	45	03.06.2022	https://vk.com/gepe5?w=wall-131054616_83874%2Fall	TRUE
90	Акина	Город в европейском современном стиле с элементами пиратской тематики, отссылок, и исторических построек по его лору.	SeleKonChik		-3650	9560	2000	-452	1213	05.06.2022	https://vk.com/topic-131054616_48663772?post=3568	TRUE
91	Бравинг	Город возможностей, экономического процветания в стиле стимпанк островов.	Calm_49		3000	-4775	1000	376	-595	03.06.2022	https://vk.com/gepe5?w=wall-131054616_83845	TRUE
92	Винный городок	Винный городок, столица виноделья. Являемся частью BarettWineCompany	Bliss_Orendeel		-2000	8000	1000	-245	1000	03.06.2022	https://vk.com/gepe5?z=photo-131054616_457251566%2Fwall-131054616_86357	TRUE
93	Гробница	Город, где великие люди и существа восстают из мёртвых	DruZheluB		-5400	-182	450	-678	-10	04.06.2022	https://vk.com/gepe5?w=wall-131054616_86426%2Fall	TRUE
94	Леввей	 Классный город. Самый интересный и самый крутой	nyvka		2852	10482	1500	363	1305	11.06.2022	https://vk.com/topic-131054616_48663772?post=3867	TRUE
95	Пандемониум	Столица Таджикистана, ад на земле	ARYARYASHKA		5852	2150	1800	710	290	03.06.2022	https://vk.com/gepe5?w=wall-131054616_83872%2Fall	TRUE
96	CUBATONITY	Город под куполом с разными секторами, в каждом из которых своя концепция и стиль строительства	_DeadRick_		4705	1752	80	588	226	19.06.2022	https://vk.com/topic-131054616_48663772?offset=240&z=photo-131054616_457251608%2Fpost-131054616_4005	TRUE
97	Стронхолдград	Средневеково - футуристичный город. (портал будет перемещён позже)  	Dimak_Lapkin		-3251	3241	555	-426	395	15.06.2022	https://vk.com/topic-131054616_48663772?post=3973	TRUE
98	Флоу	пожилая пиратская бухта на которой обитает плазма, преобразованая в облик человека, способная найти любое количество ресов в кротчайшие сроки	kengarags		-4160	4095	1000	525	512	03.06.2022	https://vk.com/topic-131054616_38491668?post=2704	TRUE
99	Зион	Город с готической тематикой, направленный на средний уровень РП в городе. Имеется городская и пригородская зона для жизни и игры.	PLacidLamb		8000	12300	2000	500	1500	11.06.2022	https://vk.com/gepe5?w=wall-131054616_86239	TRUE
100	Деревня финов	Приятный уголок для общения	ilsamen		250	2400	500	31	311	03.06.2022	https://vk.com/wall-131054616_86449	TRUE
101	Дрочланд	Тихий городок разделённый на районы и объединяющий в себе различные стилистики. Город окружён тайгой и ледниками. Состоит в ОСД (Организация Северного Договора).	nikolskiy		-7300	9500	1000	-914	1187	19.06.2022	https://vk.com/wall-131054616_86452	TRUE
102	БравлТаун	Легендарный город в стиле игры БРООУУЛ СТААРС	fileshka		-4215	-2360	500	-525	-285	03.06.2022	https://vk.com/gepe5?w=wall-131054616_86453	TRUE
103	Revers	город лютых, жестких рпшеров, антитоксиков, не токсиков	HaleRevers		815	-9313	1500	101	1164	07.06.2022	https://vk.com/wall-131054616_85245	FALSE
104	GoTUM	Подземный турестический город.	psina_sytylaya		-37	6203	1000	9	762	19.06.2022	https://vk.com/wall-131054616_86454	TRUE
105	FluffyTown	Город на островах.	Gorynych		10174	4256	1000	1284	538	19.06.2022		TRUE
106	Остров Афины	"Остров Афины" или же Форт Пиратов, место где вы сможете отдохнуть от долгих путешествий посетив таверну, а также времено поселиться в одной из вилл форта.	TENAR52		-3972	2004	200	-489	241	19.06.2022		TRUE
107	Цитадель Риков	Многих Риков и их Морти подсосало в эту странную квадратную вселенную под номером SP-5, без возможности покинуть её. Они отстроили цитадель, которая станет для них пристанищем.	_Potell_		5302	127	400	645	6	19.06.2022	https://vk.com/wall-131054616_86432	TRUE
108	Клопенбург	Великий город!	Bizonchik		1400	-4280	1000	184	-534	03.06.2022	https://vk.com/wall-131054616_83987	TRUE
109	Verona Città	Итальянский город у моря	Radiograf	Да	3500	200	1500	430	30	03.06.2022	https://vk.com/gepe5?w=wall-131054616_83857%2Fall	TRUE
110	Лоуленд	Долина среди снежных гор.	MUKEP		4900	-4000	1000	630	-500	20.06.2022	https://vk.com/gepe5?w=wall-131054616_86481%2Fall	TRUE
111	N-grad	Без описания.	toshun_iz_NGRADA		-5140	-9666	1300	-630	-1215	04.06.2022	https://vk.com/gepe5?w=wall-131054616_84488%2Fall	TRUE
112	Виа Венето	Город в итальянском стиле	yapidoor		12000	-1000	1000	1500	-100	20.06.2022	https://vk.com/wall-131054616_86504	TRUE
113	Посо-Сити	Город великого комедианта сервера под именем Боб!	Galina_Sova		-12339	-8787	2000	-1550	-1100	20.06.2022	https://vk.com/wall-131054616_86501	TRUE
114	Бильсомеда	Без описания.	Screvans		-2814	5991	250	-349	745	19.06.2022	https://vk.com/wall-131054616_86506	TRUE
115	Парадисо	Парадисо, город-оазис находящийся в пустыне, имеющий свое расслоение по классам общества. Набор в город открыт, писать Gigachaduss (Фил#6154)	Gigachaduss		-13420	-1327	1500	-1678	-163	20.06.2022	https://vk.com/topic-131054616_48663772?post=4018	TRUE
116	ТорЛанд	Красивый РП город,поделён на районы, у каждого из них свой потрясающий стиль	Gagosha		-1000	6500	1000	-130	815	20.06.2022	https://vk.com/topic-131054616_48663772?offset=260	TRUE
117	К.О.Т.	город каменных джунглей и зданий в питерском стиле. Равность каждого жителя, бартерная система и теплое обращение с другими, то что отличает нас от других.	JesusWeltraum		13500	-13500	1000	1687	-1687	08.06.2022	https://vk.com/im?sel=457687533&w=wall-131054616_85499	TRUE
118	Инадзума	Большой промышленный город	Yukipeek		-35	11375	2000	-5	1440	21.06.2022	https://vk.com/gepe5?w=wall-131054616_86512%2Fall	TRUE
119	Блюбёрд	Деревня Культистов 	Arklion		3880	7600	900	485	950	03.06.2022	https://vk.com/wall-131054616_84041	TRUE
120	Рыбоград	Прекрасный город построенный рыбами из рыб для рыб.	palezator		-3112	-9656	500	-389	-1207			TRUE
121	Кириешинск	Тихий городок, на окраине штата СП. Находится в красивом еловом биоме, рады новым жителям.	cblpHik		-4000	-12500	500	-541	-1571			TRUE
122	СекаиГрад	Лучший японский город, который был основан около трёх лет назад.	TRLWK		6500	7000	1500	771	826	21.06.2022	https://vk.com/wall-131054616_86521	TRUE
123	Цитадель Риков	Магический город, связанный с различными мировыми эпохами.	Kekezmekez		4067	-5000		553	-700	03.06.2022	https://vk.com/gepe5?w=wall-131054616_83848%2Fall	TRUE
124	Тайпока	Город построен в стиле Звездных Войн и одноимённого плавучего города с планеты Камино. Здесь проходят РП ивенты, находится база элитных клонов из 501-го легиона.	DaLiner		5588	875	650	685	106	03.06.2022	https://vk.com/bookmarks?from_menu=1&w=wall-131054616_83992	TRUE
125	Твинс	Без описания.	_Tw1n		8296	13222	2000	1031	1683	08.06.2022	https://vk.com/bookmarks?from_menu=1&w=wall-131054616_85503	TRUE
126	Dickистан	Город для новичков и не только. Уже сейчас здесь строится неповторимый Big Ben (aka. Big Dick). Приглашаю вас в город викторианской эпохи.	MrWilfis		4400	-350	500	550	-44	03.06.2022	https://vk.com/bookmarks?from_menu=1&w=wall-131054616_83979	TRUE
127	Россия	Город В ледяном биоме, со своей системой санкций!	_Grenia_		-370	-13489	800	-61	-1676	22.06.2022	https://vk.com/gepe5?w=wall-131054616_86576%2Fall	TRUE
128	Город Уродов	Город Уродов - город с огромной историей, приютивший самых отчаившихся и опустивших руки людей с осбенностями внешности.	MishaDesinov		-7400	2300	500	-950	300	22.06.2022	https://vk.com/wall-131054616_86571	TRUE
129	Майнгольм	Современный и прогрессивный город	drannch1k		-9500	-910	500	-1185	-111	23.06.2022		TRUE
130	Фроград	Уютный и ламповый город, в котором будут периодически проходить различные ивенты и праздники	Logmen2078		1279	-5850	1500	158	-730	23.06.2022		TRUE
131	Пчелиное поселение	Поселение для любителей пчёлок и больших пенисов	Eltrobit		-11400	-4150	500	-1450	-450	23.06.2022	https://vk.com/bookmarks?from_menu=1&w=wall-131054616_86600	TRUE
132	Трория	Без описания.	RdnStrider		9636	12349	500	1205	1543	24.06.2022		TRUE
133	Маранелло	"Ciao amici! Добро пожаловать в итальянский городок Маранелло (Maranello)!"	S7venMan		71	-6701	2000	20	-850	22.06.2022	https://vk.com/bookmarks?from_menu=1&w=wall-131054616_86622	TRUE
134	Пратвилль	Средневековый город, с атмосферой древней руси. Узкие улочки и густонаселённые районы.	DJ_SVYAT		-10344	-2952	1000	-1287	-384	21.06.2022	https://vk.com/wall-131054616_86522	TRUE
135	Херлинбург	Херлинбург является оплотом Священной Монархии, процветающей Аристократии и дышащей полной грудью, природы, прорастающей по всему городу.	5opka		8217	12525	2000	1020	1550	11.06.2022	https://vk.com/bookmarks?from_menu=1&w=wall-131054616_86623	TRUE
136	Джангейт	Городок друзей в около стимпанковском стиле	Mork13		-9900	-3967	800	-1223	-497	05.06.2022	https://vk.com/wall-131054616_86634	TRUE
137	Дейт	Город (база) друзей	1tsukusu		-580	-2700	100	-69	-333			TRUE
